-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
6	1
-1	-1
5	4
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
3	3
-1	-1
2	5
6	3
1	1
-1	-1
2	5
4	4
-1	-1
4	4
-1	-1
-1	-1
-1	-1
-1	-1
3	4
-1	-1
-1	-1
-1	-1
3	1
2	6
-1	-1
-1	-1
-1	-1
3	2
5	3
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
3	1
6	1
3	4
-1	-1
6	6
2	2
5	1
-1	-1
-1	-1
-1	-1
4	6
6	5
-1	-1
5	6
-1	-1
6	2
-1	-1
-1	-1
6	3
2	2
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
2	5
2	5
-1	-1
4	2
5	6
3	5
-1	-1
-1	-1
-1	-1
1	2
-1	-1
6	1
-1	-1
-1	-1
1	2
-1	-1
2	2
-1	-1
-1	-1
-1	-1
-1	-1
6	1
-1	-1
-1	-1
3	4
-1	-1
-1	-1
2	6
-1	-1
1	1
6	4
4	1
-1	-1
3	6
2	6
-1	-1
-1	-1
-1	-1
1	1
-1	-1
-1	-1
6	4
-1	-1
3	4
-1	-1
1	5
3	5
4	2
5	1
5	4
-1	-1
-1	-1
-1	-1
1	2
3	3
3	6
5	3
-1	-1
3	2
-1	-1
4	4
-1	-1
-1	-1
-1	-1
-1	-1
-1	-1
6	3
-1	-1
5	6
-1	-1
-1	-1
-1	-1
-1	-1
