5	6	5	11
2	4	4	6
3	6	1	9
4	1	2	5
6	4	5	10
4	6	1	10
3	5	1	8
6	4	3	10
6	6	1	12
1	5	5	6
6	6	3	12
1	5	5	6
4	6	2	10
6	6	4	12
4	2	1	6
4	3	5	7
6	4	5	10
3	2	1	5
3	3	5	6
4	4	3	8
3	6	6	9
2	1	4	3
6	6	3	12
2	5	4	7
6	2	5	8
5	5	2	10
4	6	3	10
1	1	2	2
6	5	4	11
2	1	5	3
1	2	5	3
1	6	4	7
5	5	2	10
3	2	1	5
2	4	3	6
2	3	4	5
2	4	1	6
3	2	6	5
3	1	4	4
1	6	2	7
6	5	5	11
3	5	2	8
5	5	2	10
3	4	6	7
5	2	4	7
1	6	3	7
1	6	1	7
1	1	2	2
4	1	4	5
2	4	4	6
4	4	1	8
5	2	2	7
2	3	4	5
6	6	1	12
5	3	6	8
3	2	2	5
6	4	1	10
4	2	3	6
3	1	4	4
6	3	3	9
4	6	2	10
1	6	5	7
1	2	4	3
5	6	5	11
3	6	6	9
4	1	1	5
3	1	4	4
5	1	3	6
1	2	6	3
5	5	1	10
5	1	5	6
3	5	3	8
1	6	6	7
3	3	3	6
3	1	1	4
6	6	1	12
3	6	6	9
